MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
5,EXC
8,LIVE
11,FAIL
12,LIVE
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,LIVE
19,EXC
20,LIVE
21,EXC
22,LIVE
23,EXC
24,LIVE
25,EXC
26,LIVE
27,EXC
28,LIVE
29,EXC
30,LIVE
31,EXC
32,LIVE
33,EXC
34,LIVE
35,EXC
36,LIVE
37,EXC
38,LIVE
39,EXC
40,LIVE
41,EXC
42,LIVE
43,EXC
44,LIVE
45,EXC
46,LIVE
47,EXC
48,LIVE
49,EXC
50,LIVE
51,EXC
52,LIVE
53,EXC
54,LIVE
55,EXC
56,LIVE
57,EXC
58,LIVE
59,EXC
60,LIVE
61,EXC
62,LIVE
63,EXC
64,LIVE
65,EXC
66,LIVE
67,EXC
68,LIVE
69,EXC
70,LIVE
71,EXC
72,LIVE
73,EXC
74,FAIL
75,EXC
76,LIVE
77,EXC
78,LIVE
79,EXC
80,LIVE
81,EXC
82,LIVE
83,EXC
84,LIVE
85,EXC
86,LIVE
87,EXC
88,LIVE
89,EXC
90,LIVE
91,EXC
92,LIVE
93,EXC
94,LIVE
95,EXC
96,LIVE
97,EXC
98,LIVE
99,EXC
100,LIVE
101,EXC
102,LIVE
103,EXC
104,LIVE
105,EXC
106,LIVE
107,EXC
108,LIVE
109,EXC
110,LIVE
111,EXC
112,LIVE
113,EXC
114,LIVE
115,EXC
116,LIVE
117,EXC
118,LIVE
119,EXC
120,LIVE
121,EXC
122,LIVE
123,EXC
124,LIVE
125,EXC
126,LIVE
127,EXC
128,LIVE
129,EXC
130,LIVE
131,EXC
132,LIVE
133,EXC
134,LIVE
135,EXC
136,LIVE
137,EXC
138,LIVE
139,EXC
140,LIVE
141,EXC
142,LIVE
143,EXC
144,LIVE
145,EXC
146,LIVE
147,EXC
148,FAIL
149,EXC
150,FAIL
151,EXC
152,LIVE
153,EXC
154,LIVE
155,EXC
156,LIVE
157,EXC
158,LIVE
159,EXC
160,LIVE
161,EXC
162,LIVE
163,EXC
164,LIVE
165,EXC
166,LIVE
167,EXC
168,LIVE
169,EXC
